year,dollars
1984,50189
1985,47762
1986,46913
1987,45366
1988,49470
1989,49831
1990,48743
1991,48539
1992,50242
1993,54854
1994,54643
1995,55287
1996,57203
1997,53887
1998,58382
1999,55793
2000,56692
2001,56046
2002,54417
2003,59779
2004,60934
2005,58696
2006,59475
2007,61553
2008,57150
2009,56573
2010,55978
2011,54739
2012,54127
2013,53943
2014,58486
2015,56403
2016,61014
2017,62826
2018,60538
2019,66812
2020,66499
