year,dollars
1984,59529
1985,55213
1986,60777
1987,59713
1988,68196
1989,64600
1990,61855
1991,63137
1992,61478
1993,63070
1994,58104
1995,60180
1996,60445
1997,71888
1998,75478
1999,70868
2000,64099
2001,62273
2002,65192
2003,67025
2004,68578
2005,67293
2006,70427
2007,72686
2008,68251
2009,73038
2010,66821
2011,65571
2012,70239
2013,71145
2014,64647
2015,73468
2016,75841
2017,75543
2018,82184
2019,83483
2020,81083
