year,dollars
1984,61394
1985,64834
1986,61480
1987,57871
1988,55300
1989,54181
1990,59199
1991,58544
1992,58910
1993,61006
1994,65554
1995,68873
1996,67489
1997,69744
1998,74169
1999,75082
2000,72713
2001,72396
2002,69681
2003,70456
2004,69902
2005,67031
2006,71680
2007,76517
2008,73448
2009,67641
2010,71663
2011,67623
2012,64668
2013,75586
2014,66696
2015,72761
2016,76117
2017,79180
2018,75285
2019,73404
2020,82611
