year,dollars
1984,58605
1985,52425
1986,54096
1987,55919
1988,53933
1989,54294
1990,57627
1991,54448
1992,55033
1993,52660
1994,49074
1995,51336
1996,53703
1997,58835
1998,58431
1999,58205
2000,61889
2001,60697
2002,61493
2003,62403
2004,56412
2005,55841
2006,58624
2007,60693
2008,57701
2009,54080
2010,54793
2011,53226
2012,56477
2013,53223
2014,58492
2015,59944
2016,61279
2017,60084
2018,65909
2019,74065
2020,72815
