year,dollars
1984,56671
1985,50798
1986,53266
1987,60306
1988,55733
1989,59668
1990,56747
1991,53992
1992,54784
1993,52080
1994,57423
1995,53346
1996,51013
1997,53918
1998,56106
1999,58050
2000,59733
2001,58212
2002,57372
2003,60037
2004,62362
2005,59416
2006,60540
2007,61002
2008,64281
2009,63457
2010,62107
2011,62871
2012,64959
2013,75061
2014,60950
2015,66565
2016,62378
2017,62867
2018,64467
2019,65947
2020,65108
