year,dollars
1984,50919
1985,50368
1986,56011
1987,54728
1988,58536
1989,57663
1990,56402
1991,56111
1992,57900
1993,58618
1994,54505
1995,61544
1996,58494
1997,60087
1998,62181
1999,63303
2000,64059
2001,60489
2002,60314
2003,58743
2004,56313
2005,58673
2006,60605
2007,62869
2008,62341
2009,59379
2010,60204
2011,59430
2012,58479
2013,54536
2014,64436
2015,66466
2016,63787
2017,65995
2018,71297
2019,75342
2020,76554
