year,dollars (millions)
1997,74662.3
1998,78382.0
1999,81883.8
2000,86099.0
2001,88883.6
2002,91584.2
2003,95359.9
2004,99083.0
2005,105526.3
2006,114091.9
2007,123878.7
2008,128604.3
2009,125348.9
2010,128591.3
2011,136358.9
2012,141818.2
2013,144483.2
2014,150183.6
2015,154958.2
2016,160451.0
2017,164923.3
2018,172327.5
2019,176738.5
2020,175141.8
2021,192303.6
