year,dollars (millions)
1997,193825.9
1998,209741.1
1999,229797.9
2000,237378.2
2001,238418.6
2002,245978.5
2003,255370.2
2004,268378.3
2005,293676.0
2006,314265.2
2007,342024.2
2008,354794.1
2009,351245.0
2010,365497.8
2011,379574.9
2012,400530.6
2013,419092.4
2014,440648.0
2015,466689.7
2016,487275.1
2017,519942.9
2018,564480.7
2019,597873.8
2020,604253.8
2021,667576.8
