year,dollars (millions)
1997,136898.7
1998,150330.0
1999,163763.3
2000,180063.2
2001,186695.8
2002,190019.0
2003,196126.5
2004,204167.2
2005,220783.7
2006,232646.7
2007,248446.5
2008,258871.7
2009,251227.7
2010,258300.2
2011,267516.1
2012,276823.1
2013,292140.5
2014,309542.6
2015,320721.1
2016,329911.7
2017,348898.1
2018,371424.6
2019,392218.0
2020,382584.7
2021,421941.4
